Name
"Charles Gregory Costello, Jr. N-64"
Michael S. Costello N-26
Asia S. Cottom S-70
"Conrod Kofi Cottoy, Sr. N-62"
Martin John Coughlan S-64
John G. Coughlin S-23
Timothy J. Coughlin N-54
James E. Cove S-59
Andre Colin Cox N-23
Frederick John Cox S-50
James Raymond Coyle S-7
Michele Coyle-Eulau N-11
Christopher Seton Cramer S-42
Eric A. Cranford S-72
Denise Elizabeth Crant N-10
"James Leslie Crawford, Jr. N-27"
Robert James Crawford S-18
Tara Kathleen Creamer N-75
Joanne Mary Cregan N-37
Lucia Crifasi N-18
John A. Crisci S-8
Daniel Hal Crisman N-15
Dennis A. Cross S-6
Kevin R. Crotty S-52
Thomas G. Crotty S-53
John R. Crowe S-55
Welles Remy Crowther S-50
Robert L. Cruikshank N-58
John Robert Cruz N-49
Grace Alegre Cua S-39
Kenneth John Cubas S-43
Francisco Cruz Cubero S-65
Thelma Cuccinello N-1
Richard Joseph Cudina N-51
Neil James Cudmore N-20
Thomas Patrick Cullen III S-13
Joan Cullinan N-31
Joyce Rose Cummings S-39
Brian Thomas Cummins N-27
Michael Joseph Cunningham S-31
Robert Curatolo S-19
Laurence Damian Curia N-41
Paul Dario Curioli S-63
Patrick Joseph Currivan N-74
Beverly L. Curry N-35
Andrew Peter Charles Curry Green N-1
Michael Sean Curtin S-24
Patricia Cushing S-67
Gavin Cushny N-31
Caleb Arron Dack N-21
Carlos S. da Costa S-25
Jason M. Dahl S-67
Brian Paul Dale N-76
John D’Allara S-24
Vincent Gerard D’Amadeo N-32
Thomas A. Damaskinos N-32
"Jack L. D’Ambrosi, Jr. N-45"
Jeannine Damiani-Jones N-42
Manuel João DaMota N-71
Patrick W. Danahy S-40
Mary D’Antonio N-6
Vincent G. Danz S-24
Dwight Donald Darcy N-66
Elizabeth Ann Darling N-12
Annette Andrea Dataram N-69
Edward A. D’Atri S-6
Michael D. D’Auria S-16
Lawrence Davidson S-62
Michael Allen Davidson N-30
Scott Matthew Davidson S-10
Titus Davidson S-46
Niurka Davila N-66
Ada M. Davis S-75
"Clinton Davis, Sr. S-28"
Wayne Terrial Davis N-21
Anthony Richard Dawson N-22
Calvin Dawson S-32
Edward James Day S-15
William Thomas Dean N-11
"Robert J. DeAngelis, Jr. S-64"
Thomas Patrick DeAngelis S-16
Dorothy Alma de Araujo S-4
Ana Gloria Pocasangre Debarrera S-2
Tara E. Debek N-9
James D. Debeuneure S-70
Anna M. DeBin N-47
"James V. DeBlase, Jr. N-51"
Jayceryll Malabuyoc de Chavez S-40
Paul DeCola N-36
Gerald F. DeConto S-72
Simon Marash Dedvukaj N-64
Jason Christopher DeFazio N-40
David A. DeFeo S-49
Jennifer De Jesus S-46
Monique Effie DeJesus N-29
Nereida De Jesus S-60
Emy De La Peña S-40
Donald Arthur Delapenha S-36
Azucena Maria de la Torre N-47
Vito Joseph DeLeo N-63
Danielle Anne Delie N-3
Joseph A. Della Pietra N-40
Andrea DellaBella S-58
Palmina DelliGatti N-4
Colleen Ann Deloughery S-59
Joseph DeLuca S-68
"Manuel Del Valle, Jr. S-16"
Francis Albert De Martini S-27
Anthony Demas S-55
Martin N. DeMeo S-9
Francis Deming N-17
Carol Keyes Demitz S-42
Kevin Dennis N-44
"Thomas Francis Dennis, Sr. N-56"
Jean C. DePalma N-12
Jose Nicolas De Pena N-69
Robert John Deraney N-21
Michael DeRienzo N-53
David Paul DeRubbio S-14
Jemal Legesse DeSantis N-58
Christian Louis DeSimone N-4
Edward DeSimone III N-53
Andrew J. Desperito S-18
Michael Jude D’Esposito N-6
Cindy Ann Deuel N-59
Melanie Louise de Vere N-20
Jerry DeVito N-60
"Robert P. Devitt, Jr. N-32"
Dennis Lawrence Devlin S-15
Gerard P. Dewan S-8
Sulemanali Kassamali Dhanani S-53
Michael Louis DiAgostino N-49
Matthew Diaz N-24
Nancy Diaz N-70
Obdulio Ruiz Diaz N-71
Michael A. Diaz-Piedra III N-72
Judith Berquis Diaz-Sierra S-40
Patricia Florence Di Chiaro N-8
Rodney Dickens S-70
Jerry D. Dickerson S-74
"Joseph Dermot Dickey, Jr. N-46"
Lawrence Patrick Dickinson N-67
Michael D. Diehl S-40
John Difato N-58
Vincent Francis DiFazio N-55
Carl Anthony DiFranco N-4
Donald Joseph DiFranco N-64
John DiGiovanni N-73
Eddie A. Dillard S-70
Debra Ann Di Martino S-36
David DiMeglio N-2
Stephen Patrick Dimino N-53
William John Dimmling N-12
Christopher More Dincuff N-60
Jeffrey Mark Dingle N-21
Rena Sam Dinnoo N-12
Anthony Dionisio N-33
George DiPasquale S-17
Joseph Di Pilato S-46
Douglas Frank DiStefano N-49
Donald Americo DiTullio N-75
Ramzi A. Doany N-14
"Johnnie Doctor, Jr. S-72"
John Joseph Doherty S-60
Melissa Cándida Doi S-46
Brendan Dolan N-61
"Robert E. Dolan, Jr. S-73"
Neil Matthew Dollard N-40
James Domanico S-48
Benilda Pascua Domingo S-37
Alberto Dominguez N-2
Carlos Dominguez N-3
Jerome Mark Patrick Dominguez S-25
Kevin W. Donnelly S-6
Jacqueline Donovan S-33
William H. Donovan S-73
Stephen Scott Dorf S-32
Thomas Dowd N-55
Kevin Christopher Dowdell S-11
Mary Yolanda Dowling S-59
"Raymond Matthew Downey, Sr. S-9"
Frank Joseph Doyle S-34
Joseph Michael Doyle N-33
Randall L. Drake S-38
Patrick Joseph Driscoll S-68
Stephen Patrick Driscoll S-24
Charles A. Droz III S-70
Mirna A. Duarte N-16
Luke A. Dudek N-70
Christopher Michael Duffy S-35
Gerard J. Duffy S-10
Michael Joseph Duffy S-35
Thomas W. Duffy N-4
Antoinette Duger N-72
Jackie Sayegh Duggan N-69
Sareve Dukat S-48
Patrick Dunn S-72
Felicia Gail Dunn-Jones S-66
Christopher Joseph Dunne N-13
Richard Anthony Dunstan S-59
Patrick Thomas Dwyer N-25
Joseph Anthony Eacobacci N-50
John Bruce Eagleson S-66
Edward T. Earhart S-72
Robert Douglas Eaton N-46
Dean Phillip Eberling S-33
Margaret Ruth Echtermann S-48
Paul Robert Eckna N-28
Constantine Economos S-51
Barbara G. Edwards S-70
Dennis Michael Edwards N-54
Michael Hardy Edwards S-50
Christine Egan S-53
Lisa Erin Egan N-49
"Martin J. Egan, Jr. S-11"
Michael Egan S-53
Samantha Martin Egan N-49
Carole Eggert N-6
Lisa Caren Ehrlich S-62
John Ernst Eichler N-71
Eric Adam Eisenberg S-58
Daphne Ferlinda Elder N-8
Michael J. Elferis S-18
Mark Joseph Ellis S-25
Valerie Silver Ellis N-25
Albert Alfy William Elmarry N-36
Robert R. Elseth S-73
